PLAYER,AGE,PTS,RF_SALARY_2026,XGB_SALARY_2026
James Harden,36,1652,"$51,550,097","$41,838,328"
Jalen Duren,22,1365,"$48,700,937","$39,519,120"
Austin Reaves,27,1187,"$46,979,661","$37,023,220"
LeBron James,41,1256,"$38,303,246","$31,213,620"
Norman Powell,32,1261,"$40,269,122","$30,765,484"
Tobias Harris,33,836,"$21,209,308","$20,090,894"
Luguentz Dort,26,576,"$15,041,891","$17,773,726"
Julian Champagnie,24,911,"$24,837,602","$16,147,988"
Peyton Watson,23,789,"$18,100,759","$14,249,132"
Coby White,26,868,"$19,247,187","$14,044,605"
Sandro Mamukelashvili,26,893,"$15,238,377","$13,446,626"
Marcus Smart,32,579,"$14,629,059","$12,453,766"
Tari Eason,24,627,"$12,833,356","$12,213,007"
Collin Gillespie,26,1012,"$13,220,691","$11,346,267"
Dominick Barlow,22,545,"$10,127,249","$11,167,321"
Harrison Barnes,33,765,"$13,275,171","$11,012,773"
Kelly Oubre Jr.,30,705,"$13,299,366","$11,010,489"
Kevin Huerter,27,693,"$10,080,631","$10,922,642"
Kevin Porter Jr.,25,661,"$13,120,355","$10,868,657"
Ayo Dosunmu,26,1022,"$12,371,384","$10,819,138"
Pelle Larsson,25,800,"$12,961,068","$10,803,205"
Tim Hardaway Jr.,34,1079,"$12,606,264","$10,343,712"
Bennedict Mathurin,23,949,"$12,690,786","$10,326,589"
Andrew Wiggins,31,1045,"$11,957,646","$10,249,000"
Quentin Grimes,25,1006,"$9,990,480","$10,212,308"
Deandre Ayton,27,897,"$13,836,051","$10,173,337"
Brandon Williams,26,859,"$8,732,012","$10,125,460"
Simone Fontecchio,30,597,"$9,818,874","$10,096,319"
Jordan Goodwin,27,609,"$9,475,141","$10,011,993"
Daniss Jenkins,24,671,"$12,829,834","$9,643,199"
Collin Sexton,27,1050,"$13,905,833","$9,565,043"
Ousmane Dieng,22,431,"$3,691,074","$9,401,587"
Jordan Miller,26,598,"$8,360,591","$9,256,291"
Quinten Post,26,513,"$7,044,891","$9,199,361"
Jaxson Hayes,25,497,"$9,081,294","$9,094,915"
Luke Kennard,29,652,"$10,183,237","$9,049,380"
Day'Ron Sharpe,24,540,"$7,183,672","$8,790,935"
Jamal Shead,23,545,"$13,437,983","$8,785,534"
Jamal Shead,23,545,"$13,437,983","$8,785,534"
Brook Lopez,38,634,"$7,773,274","$8,644,442"
Jock Landale,30,718,"$8,277,339","$8,277,312"
Jose Alvarado,28,510,"$7,298,500","$8,216,641"
Mark Williams,24,700,"$9,841,192","$8,164,986"
Dean Wade,29,342,"$7,964,175","$8,124,270"
Rui Hachimura,28,780,"$10,323,132","$8,096,206"
Javonte Green,32,569,"$10,922,154","$8,032,876"
Marvin Bagley III,27,627,"$8,371,487","$8,032,660"
Landry Shamet,29,475,"$10,125,155","$7,943,434"
John Collins,28,935,"$9,871,281","$7,839,045"
Mitchell Robinson,28,340,"$9,223,874","$7,726,360"
Precious Achiuwa,26,736,"$8,733,843","$7,570,048"
De'Anthony Melton,27,602,"$10,844,913","$7,445,806"
Josh Okogie,27,353,"$7,870,855","$7,202,954"
Mouhamed Gueye,23,342,"$6,795,640","$7,194,082"
Zach LaVine,31,748,"$13,252,208","$7,170,244"
Isaiah Hartenstein,27,432,"$14,113,780","$7,159,290"
Kobe Sanders,23,495,"$7,933,462","$7,023,914"
Anthony Gill,33,321,"$5,197,871","$6,996,162"
Anfernee Simons,26,785,"$12,198,919","$6,910,833"
Jordan Walsh,22,364,"$9,200,920","$6,885,145"
Spencer Jones,24,352,"$8,010,334","$6,866,298"
Draymond Green,36,570,"$6,950,575","$6,425,826"
Craig Porter Jr.,26,289,"$7,484,874","$6,359,916"
Jordan Clarkson,33,622,"$7,453,893","$6,322,741"
Nique Clifford,24,645,"$7,110,738","$6,264,107"
Caleb Love,24,509,"$5,234,822","$6,251,897"
Gary Payton II,33,547,"$6,458,668","$6,190,240"
Jonathan Kuminga,23,438,"$4,334,248","$6,155,342"
Russell Westbrook,37,971,"$7,422,850","$6,097,000"
Jericho Sims,27,334,"$5,948,666","$5,919,076"
Khris Middleton,34,640,"$5,434,184","$5,676,300"
Micah Potter,28,458,"$5,483,868","$5,661,620"
Robert Williams III,28,397,"$6,464,473","$5,501,788"
Andre Drummond,32,403,"$6,770,371","$5,386,674"
Olivier-Maxence Prosper,23,530,"$5,197,915","$5,281,830"
Olivier-Maxence Prosper,23,530,"$5,197,915","$5,281,830"
Gabe Vincent,29,231,"$4,160,384","$5,268,759"
Nicolas Batum,37,293,"$5,642,788","$5,242,700"
Kentavious Caldwell-Pope,33,428,"$5,359,835","$5,067,632"
Gary Trent Jr.,27,529,"$5,624,387","$5,063,868"
Dwight Powell,34,210,"$5,041,580","$4,932,198"
Ziaire Williams,24,573,"$4,915,694","$4,893,661"
Kenrich Williams,31,363,"$3,531,103","$4,828,146"
Keon Ellis,26,480,"$4,792,391","$4,788,055"
Mike Conley,38,245,"$6,532,840","$4,726,068"
Ryan Nembhard,23,397,"$4,665,401","$4,701,948"
Kyle Anderson,32,266,"$4,270,436","$4,675,552"
Bismack Biyombo,33,23,"$3,804,186","$4,610,744"
Kyle Lowry,40,17,"$3,807,435","$4,557,440"
Doug McDermott,34,164,"$3,907,166","$4,535,836"
Kevon Looney,30,59,"$3,815,409","$4,531,401"
DeAndre Jordan,37,53,"$3,931,983","$4,517,412"
Maxi Kleber,34,86,"$3,964,388","$4,504,710"
Ochai Agbaji,25,314,"$4,496,182","$4,500,359"
Guerschon Yabusele,30,373,"$3,926,897","$4,496,960"
Tyus Jones,29,199,"$5,955,824","$4,486,212"
Mason Plumlee,36,31,"$3,763,480","$4,476,380"
Larry Nance Jr.,33,131,"$3,972,750","$4,464,287"
Pat Spencer,29,476,"$4,848,904","$4,449,936"
Bradley Beal,32,49,"$3,614,036","$4,430,961"
Thanasis Antetokounmpo,33,47,"$3,766,822","$4,429,497"
Jeff Green,39,67,"$3,694,822","$4,429,497"
Garrett Temple,39,17,"$3,744,840","$4,427,716"
Aaron Holiday,29,312,"$3,612,837","$4,401,258"
Al Horford,39,372,"$5,734,899","$4,389,887"
Walker Kessler,24,72,"$3,684,039","$4,379,798"
Seth Curry,35,71,"$3,437,708","$4,378,512"
Joe Ingles,38,41,"$3,676,324","$4,375,268"
Gary Harris,31,128,"$3,980,245","$4,369,124"
Jevon Carter,30,339,"$3,815,375","$4,335,980"
Jamir Watkins,24,368,"$4,232,579","$4,333,816"
Jamir Watkins,24,368,"$4,232,579","$4,333,816"
Thomas Bryant,28,370,"$3,547,753","$4,310,070"
Pat Connaughton,33,110,"$3,754,722","$4,295,098"
Kevin Love,37,248,"$4,105,941","$4,288,624"
Kelly Olynyk,34,133,"$3,895,086","$4,268,890"
Trae Young,27,269,"$4,833,111","$4,241,902"
Taurean Prince,32,239,"$3,905,564","$4,224,728"
D'Angelo Russell,30,264,"$3,755,340","$4,196,464"
Nick Richards,28,276,"$3,203,099","$4,192,066"
Charles Bassey,25,76,"$2,845,270","$4,186,996"
Jordan McLaughlin,30,89,"$3,561,783","$4,182,226"
Dalen Terry,23,176,"$2,160,081","$4,121,242"
Matisse Thybulle,29,174,"$3,385,581","$4,090,771"
Ethan Thompson,26,223,"$2,668,733","$4,088,460"
Drew Eubanks,29,219,"$3,280,860","$4,062,406"
Bez Mbeng,23,122,"$3,132,223","$4,054,675"
Moritz Wagner,28,247,"$3,341,220","$4,002,263"
Sharife Cooper,24,333,"$3,120,027","$3,994,790"
Lindy Waters III,28,95,"$3,217,726","$3,940,035"
Oscar Tshiebwe,26,211,"$2,946,812","$3,920,658"
Tyson Etienne,26,189,"$2,301,779","$3,892,738"
Yuki Kawamura,24,62,"$1,879,410","$3,892,594"
Jaylen Clark,24,275,"$3,277,334","$3,875,334"
Daeqwon Plowden,27,344,"$3,173,553","$3,858,418"
Josh Minott,23,364,"$3,305,433","$3,832,496"
Trendon Watford,25,346,"$3,183,317","$3,831,263"
Tony Bradley,28,162,"$2,839,308","$3,805,032"
Bryce McGowens,23,340,"$3,321,786","$3,781,564"
Amir Coffey,28,149,"$3,270,635","$3,748,003"
Jalen Pickett,26,260,"$2,578,858","$3,711,201"
Jamaree Bouyea,26,263,"$3,040,245","$3,709,124"
Blake Wesley,23,148,"$2,131,756","$3,694,276"
Zach Collins,28,97,"$2,723,990","$3,693,764"
Tyrese Martin,27,290,"$2,899,735","$3,613,355"
Keaton Wallace,27,186,"$2,705,914","$3,606,654"
Mac McClung,27,67,"$2,738,516","$3,581,856"
Isaiah Livers,27,65,"$2,378,564","$3,578,824"
Harrison Ingram,23,11,"$2,114,504","$3,545,353"
Olivier Sarr,27,14,"$2,447,665","$3,537,605"
